time,bam10,bam25
2019-09-19-07,31,7
2019-09-19-08,33,9
2019-09-19-09,31,8
2019-09-19-10,29,8
2019-09-19-11,29,8
2019-09-19-12,33,10
2019-09-19-13,36,11
2019-09-19-14,32,12
2019-09-19-15,31,9
2019-09-19-16,37,13
2019-09-19-17,35,14
2019-09-19-18,31,14
2019-09-19-19,23,12
2019-09-19-20,25,10
2019-09-19-21,23,10
2019-09-19-22,26,8
2019-09-19-23,30,8
2019-09-19-24,32,9
2019-09-20-01,32,9
2019-09-20-02,32,11
2019-09-20-03,30,10
2019-09-20-04,31,11
2019-09-20-05,29,10
2019-09-20-06,27,10
2019-09-20-07,22,7
2019-09-20-08,22,8
2019-09-20-09,22,7
2019-09-20-10,25,8
2019-09-20-11,24,9
2019-09-20-12,26,8
2019-09-20-13,25,9
2019-09-20-14,20,7
2019-09-20-15,22,9
2019-09-20-16,19,7
2019-09-20-17,20,7
2019-09-20-18,20,8
2019-09-20-19,22,7
2019-09-20-20,21,8
2019-09-20-21,19,10
2019-09-20-22,20,8
2019-09-20-23,21,10
2019-09-20-24,18,7
2019-09-21-01,15,6
2019-09-21-02,16,6
2019-09-21-03,13,6
2019-09-21-04,13,6
2019-09-21-05,12,7
2019-09-21-06,12,5
2019-09-21-07,12,6
2019-09-21-08,15,7
2019-09-21-09,21,5
2019-09-21-10,21,7
2019-09-21-11,24,5
2019-09-21-12,21,7
2019-09-21-13,19,4
2019-09-21-14,19,7
2019-09-21-15,21,4
2019-09-21-16,19,6
2019-09-21-17,17,7
2019-09-21-18,13,6
2019-09-21-19,13,8
2019-09-21-20,15,8
2019-09-21-21,12,6
2019-09-21-22,9,4
2019-09-21-23,10,6
2019-09-21-24,9,5
2019-09-22-01,8,3
2019-09-22-02,8,5
2019-09-22-03,9,4
2019-09-22-04,9,5
2019-09-22-05,10,5
2019-09-22-06,7,3
2019-09-22-07,5,1
2019-09-22-08,5,2
2019-09-22-09,4,2
2019-09-22-10,3,1
2019-09-22-11,4,1
2019-09-22-12,4,2
2019-09-22-13,4,2
2019-09-22-14,4,2
2019-09-22-15,6,3
2019-09-22-16,4,2
2019-09-22-17,5,2
2019-09-22-18,3,2
2019-09-22-19,5,2
2019-09-22-20,4,2
2019-09-22-21,4,2
2019-09-22-22,5,1
2019-09-22-23,4,3
2019-09-22-24,4,2
2019-09-23-01,4,1
2019-09-23-02,4,2
2019-09-23-03,5,2
2019-09-23-04,8,4
2019-09-23-05,13,2
2019-09-23-06,11,5
2019-09-23-07,10,7
2019-09-23-08,13,5
2019-09-23-09,14,5
2019-09-23-10,12,3
2019-09-23-11,10,3
2019-09-23-12,13,4
2019-09-23-13,14,5
2019-09-23-14,14,5
2019-09-23-15,14,3
2019-09-23-16,19,8
2019-09-23-17,17,6
2019-09-23-18,15,5
2019-09-23-19,19,8
2019-09-23-20,19,9
2019-09-23-21,21,10
2019-09-23-22,20,9
2019-09-23-23,22,8
2019-09-23-24,23,10
2019-09-24-01,23,11
2019-09-24-02,23,10
2019-09-24-03,22,11
2019-09-24-04,20,9
2019-09-24-05,19,10
2019-09-24-06,18,9
2019-09-24-07,18,11
2019-09-24-08,17,8
2019-09-24-09,20,10
2019-09-24-10,21,8
2019-09-24-11,27,10
2019-09-24-12,31,12
2019-09-24-13,26,9
2019-09-24-14,25,10
2019-09-24-15,27,12
2019-09-24-16,33,16
2019-09-24-17,39,18
2019-09-24-18,33,16
2019-09-24-19,29,15
2019-09-24-20,27,13
2019-09-24-21,27,14
2019-09-24-22,24,12
2019-09-24-23,26,11
2019-09-24-24,25,14
2019-09-25-01,28,14
2019-09-25-02,30,14
2019-09-25-03,29,15
2019-09-25-04,26,12
2019-09-25-05,25,13
2019-09-25-06,25,13
2019-09-25-07,26,12
2019-09-25-08,25,13
2019-09-25-09,27,14
2019-09-25-10,31,13
2019-09-25-11,31,15
2019-09-25-12,31,14
2019-09-25-13,24,7
2019-09-25-14,24,10
2019-09-25-15,26,11
2019-09-25-16,31,13
2019-09-25-17,33,18
2019-09-25-18,30,15
2019-09-25-19,40,21
2019-09-25-20,51,27
2019-09-25-21,44,24
2019-09-25-22,47,27
2019-09-25-23,42,22
2019-09-25-24,35,18
2019-09-26-01,33,17
2019-09-26-02,30,16
2019-09-26-03,28,13
2019-09-26-04,26,13
2019-09-26-05,29,17
2019-09-26-06,28,16
2019-09-26-07,31,17
2019-09-26-08,28,15
2019-09-26-09,29,14
2019-09-26-10,33,16
2019-09-26-11,29,14
2019-09-26-12,31,15
2019-09-26-13,28,13
2019-09-26-14,25,12
2019-09-26-15,28,14
2019-09-26-16,30,15
2019-09-26-17,28,12
2019-09-26-18,24,13
2019-09-26-19,28,16
2019-09-26-20,25,14
2019-09-26-21,27,13
2019-09-26-22,,
2019-09-26-23,31,16
2019-09-26-24,30,16
2019-09-27-01,28,16
2019-09-27-02,28,14
2019-09-27-03,24,13
2019-09-27-04,22,12
2019-09-27-05,22,11
2019-09-27-06,20,12
2019-09-27-07,21,12
2019-09-27-08,20,10
2019-09-27-09,22,11
2019-09-27-10,25,10
2019-09-27-11,27,11
2019-09-27-12,30,11
2019-09-27-13,27,11
2019-09-27-14,26,10
2019-09-27-15,20,8
2019-09-27-16,30,
2019-09-27-17,35,18
2019-09-27-18,24,11
2019-09-27-19,25,11
2019-09-27-20,22,11
2019-09-27-21,23,11
2019-09-27-22,23,11
2019-09-27-23,21,11
2019-09-27-24,22,13
2019-09-28-01,23,13
2019-09-28-02,21,12
2019-09-28-03,20,9
2019-09-28-04,19,10
2019-09-28-05,20,11
2019-09-28-06,20,10
2019-09-28-07,21,13
2019-09-28-08,21,11
2019-09-28-09,21,13
2019-09-28-10,23,11
2019-09-28-11,25,14
2019-09-28-12,31,17
2019-09-28-13,29,16
2019-09-28-14,32,20
2019-09-28-15,34,17
2019-09-28-16,29,17
2019-09-28-17,35,23
2019-09-28-18,36,23
2019-09-28-19,37,27
2019-09-28-20,40,23
2019-09-28-21,43,23
2019-09-28-22,45,28
2019-09-28-23,42,26
2019-09-28-24,43,28
2019-09-29-01,44,29
2019-09-29-02,46,28
2019-09-29-03,46,30
2019-09-29-04,43,27
2019-09-29-05,42,28
2019-09-29-06,41,27
2019-09-29-07,43,26
2019-09-29-08,40,27
2019-09-29-09,43,27
2019-09-29-10,37,24
2019-09-29-11,37,22
2019-09-29-12,42,26
2019-09-29-13,40,24
2019-09-29-14,37,23
2019-09-29-15,39,24
2019-09-29-16,41,24
2019-09-29-17,36,22
2019-09-29-18,31,19
2019-09-29-19,35,20
2019-09-29-20,46,26
2019-09-29-21,55,32
2019-09-29-22,55,31
2019-09-29-23,53,32
2019-09-29-24,53,31
2019-09-30-01,49,30
2019-09-30-02,48,30
2019-09-30-03,47,30
2019-09-30-04,43,28
2019-09-30-05,41,25
2019-09-30-06,38,23
2019-09-30-07,37,22
2019-09-30-08,38,23
2019-09-30-09,44,24
2019-09-30-10,39,22
2019-09-30-11,39,21
2019-09-30-12,43,23
2019-09-30-13,43,24
2019-09-30-14,44,26
2019-09-30-15,44,23
2019-09-30-16,44,25
2019-09-30-17,41,22
2019-09-30-18,64,39
2019-09-30-19,96,57
2019-09-30-20,93,57
2019-09-30-21,105,63
2019-09-30-22,124,78
2019-09-30-23,96,60
2019-09-30-24,63,35
2019-10-01-01,67,40
2019-10-01-02,59,35
2019-10-01-03,53,31
2019-10-01-04,44,27
2019-10-01-05,42,28
2019-10-01-06,38,25
2019-10-01-07,38,24
2019-10-01-08,37,23
2019-10-01-09,44,23
2019-10-01-10,42,22
2019-10-01-11,39,22
2019-10-01-12,46,23
2019-10-01-13,54,30
2019-10-01-14,49,29
2019-10-01-15,42,25
2019-10-01-16,41,27
2019-10-01-17,40,28
2019-10-01-18,39,26
2019-10-01-19,48,32
2019-10-01-20,48,30
2019-10-01-21,40,24
2019-10-01-22,41,27
2019-10-01-23,47,32
2019-10-01-24,44,28
2019-10-02-01,43,29
2019-10-02-02,35,22
2019-10-02-03,38,24
2019-10-02-04,39,26
2019-10-02-05,41,28
2019-10-02-06,42,28
2019-10-02-07,43,27
2019-10-02-08,42,28
2019-10-02-09,40,27
2019-10-02-10,34,21
2019-10-02-11,30,20
2019-10-02-12,22,13
2019-10-02-13,18,11
2019-10-02-14,18,12
2019-10-02-15,20,12
2019-10-02-16,16,10
2019-10-02-17,17,11
2019-10-02-18,15,9
2019-10-02-19,11,9
2019-10-02-20,10,6
2019-10-02-21,9,6
2019-10-02-22,8,5
2019-10-02-23,6,2
2019-10-02-24,3,1
2019-10-03-01,3,3
2019-10-03-02,3,1
2019-10-03-03,3,1
2019-10-03-04,3,1
2019-10-03-05,3,3
2019-10-03-06,5,2
2019-10-03-07,6,3
2019-10-03-08,6,2
2019-10-03-09,7,2
2019-10-03-10,7,2
2019-10-03-11,8,1
2019-10-03-12,7,1
2019-10-03-13,4,2
2019-10-03-14,3,1
2019-10-03-15,4,2
2019-10-03-16,9,5
2019-10-03-17,8,1
2019-10-03-18,11,6
2019-10-03-19,14,8
2019-10-03-20,15,9
2019-10-03-21,17,11
2019-10-03-22,17,10
2019-10-03-23,19,10
2019-10-03-24,19,10
2019-10-04-01,21,10
2019-10-04-02,18,9
2019-10-04-03,20,11
2019-10-04-04,19,9
2019-10-04-05,17,8
2019-10-04-06,16,9
2019-10-04-07,18,11
2019-10-04-08,18,9
2019-10-04-09,22,9
2019-10-04-10,21,8
2019-10-04-11,20,8
2019-10-04-12,23,9
2019-10-04-13,24,12
2019-10-04-14,27,16
2019-10-04-15,27,18
2019-10-04-16,38,25
2019-10-04-17,27,21
2019-10-04-18,32,21
2019-10-04-19,44,26
2019-10-04-20,46,28
2019-10-04-21,67,42
2019-10-04-22,86,51
2019-10-04-23,91,53
2019-10-04-24,89,50
2019-10-05-01,81,45
2019-10-05-02,65,38
2019-10-05-03,67,37
2019-10-05-04,67,36
2019-10-05-05,65,33
2019-10-05-06,65,32
2019-10-05-07,63,32
2019-10-05-08,67,32
2019-10-05-09,35,18
2019-10-05-10,62,26
2019-10-05-11,59,24
2019-10-05-12,56,25
2019-10-05-13,51,22
2019-10-05-14,45,20
2019-10-05-15,50,26
2019-10-05-16,41,21
2019-10-05-17,14,9
2019-10-05-18,7,2
2019-10-05-19,7,3
2019-10-05-20,4,2
2019-10-05-21,3,1
2019-10-05-22,4,2
2019-10-05-23,3,1
2019-10-05-24,5,2
2019-10-06-01,4,1
2019-10-06-02,6,2
2019-10-06-03,8,1
2019-10-06-04,10,2
2019-10-06-05,10,3
2019-10-06-06,11,3
2019-10-06-07,12,4
2019-10-06-08,11,3
2019-10-06-09,11,2
2019-10-06-10,10,2
2019-10-06-11,10,1
2019-10-06-12,10,2
2019-10-06-13,14,4
2019-10-06-14,12,5
2019-10-06-15,11,4
2019-10-06-16,13,5
2019-10-06-17,15,6
2019-10-06-18,19,9
2019-10-06-19,17,7
2019-10-06-20,16,7
2019-10-06-21,18,9
2019-10-06-22,18,8
2019-10-06-23,17,6
2019-10-06-24,16,6
2019-10-07-01,16,7
2019-10-07-02,16,7
2019-10-07-03,16,7
2019-10-07-04,15,7
2019-10-07-05,18,6
2019-10-07-06,14,6
2019-10-07-07,13,6
2019-10-07-08,14,7
2019-10-07-09,16,8
2019-10-07-10,16,7
2019-10-07-11,13,8
2019-10-07-12,14,7
2019-10-07-13,12,8
2019-10-07-14,13,8
2019-10-07-15,11,9
2019-10-07-16,14,7
2019-10-07-17,17,10
2019-10-07-18,13,9
2019-10-07-19,9,5
2019-10-07-20,10,6
2019-10-07-21,8,4
2019-10-07-22,9,6
2019-10-07-23,9,5
2019-10-07-24,9,5
2019-10-08-01,10,5
2019-10-08-02,11,7
2019-10-08-03,12,7
2019-10-08-04,13,7
2019-10-08-05,17,9
2019-10-08-06,21,11
2019-10-08-07,22,12
2019-10-08-08,26,13
2019-10-08-09,31,15
2019-10-08-10,32,13
2019-10-08-11,37,14
2019-10-08-12,33,15
2019-10-08-13,31,14
2019-10-08-14,29,11
2019-10-08-15,24,8
2019-10-08-16,27,7
2019-10-08-17,24,6
2019-10-08-18,25,7
2019-10-08-19,26,8
2019-10-08-20,25,6
2019-10-08-21,27,8
2019-10-08-22,26,7
2019-10-08-23,28,6
2019-10-08-24,27,7
2019-10-09-01,27,8
2019-10-09-02,26,7
2019-10-09-03,23,8
2019-10-09-04,26,8
2019-10-09-05,27,7
2019-10-09-06,25,9
2019-10-09-07,24,9
2019-10-09-08,25,8
2019-10-09-09,27,9
2019-10-09-10,26,6
2019-10-09-11,28,5
2019-10-09-12,28,6
2019-10-09-13,23,7
2019-10-09-14,23,7
2019-10-09-15,23,8
2019-10-09-16,26,10
2019-10-09-17,28,11
2019-10-09-18,33,14
2019-10-09-19,34,13
2019-10-09-20,29,12
2019-10-09-21,29,10
2019-10-09-22,30,13
2019-10-09-23,32,15
2019-10-09-24,35,14
2019-10-10-01,32,15
2019-10-10-02,30,13
2019-10-10-03,25,13
2019-10-10-04,25,11
2019-10-10-05,23,12
2019-10-10-06,23,11
2019-10-10-07,24,10
2019-10-10-08,23,11
2019-10-10-09,26,9
2019-10-10-10,32,12
2019-10-10-11,37,14
2019-10-10-12,39,14
2019-10-10-13,37,12
2019-10-10-14,32,10
2019-10-10-15,32,11
2019-10-10-16,32,13
2019-10-10-17,35,12
2019-10-10-18,37,14
2019-10-10-19,37,15
2019-10-10-20,45,19
2019-10-10-21,47,21
2019-10-10-22,41,19
2019-10-10-23,41,17
2019-10-10-24,43,18
2019-10-11-01,42,20
2019-10-11-02,41,19
