,AI,RAW,PM10,RH,TEMP
2019-09-07 16:00,4.855177994,0.530744337,0.870550162,67.85970874,28.67009709
2019-09-07 17:00,4.827363344,0.405144695,0.652733119,81.16569132,25.88945338
2019-09-07 18:00,5.050032051,1.217948718,1.717948718,81.95375,25.17778846
2019-09-07 19:00,7.113461538,5.833333333,6.269230769,82.14714744,24.76955128
2019-09-07 20:00,7.072012579,5.729559748,6.295597484,80.87289308,24.72619497
2019-09-07 21:00,6.367266881,5.160771704,6.122186495,84.45810289,23.96051447
2019-09-07 22:00,7.479068323,8.180124224,9.714285714,86.37111801,23.58062112
2019-09-11 11:00,3.192702703,0.108108108,0.162162162,58.80040541,25.4827027
2019-09-11 12:00,2.854,0,0,55.154,25.152
2019-09-11 13:00,3.872924528,0.575471698,0.754716981,39.39160377,36.545
2019-09-11 14:00,3.889367089,0.753164557,1.009493671,36.85037975,36.96158228
2019-09-11 15:00,3.558006329,1.224683544,1.373417722,42.02797468,34.45974684
2019-09-11 16:00,3.981176471,1.781045752,1.944444444,41.51833333,34.79666667
2019-09-11 17:00,3.653091483,1.135646688,1.378548896,39.92605678,35.28829653
2019-09-11 18:00,3.006603175,0.549206349,0.726984127,41.96784127,34.24644444
2019-09-11 19:00,3.335583596,0.246056782,0.375394322,50.54195584,30.36069401
2019-09-11 20:00,3.290378549,0.116719243,0.186119874,53.80634069,28.60618297
2019-09-11 21:00,3.238927445,0.078864353,0.104100946,55.3011041,27.65022082
2019-09-11 22:00,3.172117264,0.045602606,0.127035831,56.17543974,26.92491857
2019-09-11 23:00,3.197823344,0.151419558,0.27444795,55.77637224,26.85094637
2019-09-12 0:00,3.240316456,0.224683544,0.338607595,56.27655063,26.44098101
2019-09-12 1:00,3.4,0.43533123,0.589905363,56.61047319,26.32378549
2019-09-12 2:00,4.026803797,1.202531646,1.376582278,58.04170886,25.88797468
2019-09-12 3:00,4.661962025,1.949367089,2.183544304,58.38702532,25.69908228
2019-09-12 4:00,4.692208202,2.018927445,2.214511041,58.82886435,25.53400631
2019-09-12 5:00,4.594637224,2.025236593,2.192429022,59.18785489,25.27438486
2019-09-12 6:00,4.689428571,2.136507937,2.39047619,59.26571429,25.24974603
2019-09-12 7:00,4.347278481,1.772151899,2.003164557,59.1593038,25.16822785
2019-09-12 8:00,4.028958991,1.378548896,1.58044164,58.52088328,25.2581388
2019-09-12 9:00,4.681230284,2.050473186,2.32807571,56.06094637,25.92621451
2019-09-12 10:00,5.678196203,3.10443038,3.474683544,51.80629747,26.85338608
2019-09-12 11:00,5.958832808,3.548895899,3.952681388,47.87555205,27.64962145
2019-09-12 12:00,6.332436709,3.930379747,4.344936709,47.22702532,27.39952532
2019-09-12 13:00,6.279142857,3.892063492,4.349206349,46.03073016,27.26012698
2019-09-12 14:00,6.700315457,4.246056782,4.621451104,46.95340694,27.10435331
2019-09-12 15:00,6.46278481,4.17721519,4.623417722,45.2803481,27.5821519
2019-09-12 16:00,5.27637224,3.19873817,3.413249211,42.27943218,27.65662461
2019-09-12 17:00,5.915601266,3.541139241,3.886075949,46.01341772,26.88259494
2019-09-12 18:00,6.486613924,4.015822785,4.32278481,47.83689873,26.5078481
2019-09-12 19:00,7.695601266,5.617088608,6.069620253,54.92256329,25.13227848
2019-09-12 20:00,6.746993671,6.262658228,6.670886076,66.56167722,23.06151899
2019-09-12 21:00,7.152190476,7.549206349,8.019047619,68.81174603,22.90873016
2019-09-12 22:00,7.083742138,8.103773585,8.644654088,72.11251572,22.5608805
2019-09-12 23:00,7.840727848,9.439873418,10.04113924,72.64148734,22.78082278
2019-09-13 0:00,7.744031746,9.041269841,9.657142857,71.78057143,22.87260317
2019-09-13 1:00,8.092658228,9.768987342,10.39556962,72.57405063,22.91348101
2019-09-13 2:00,8.183196203,10.08227848,10.78481013,72.19268987,22.80617089
2019-09-13 3:00,7.2225,8.212025316,8.731012658,70.61768987,22.62481013
2019-09-13 4:00,6.165063291,5.566455696,6.117088608,67.02898734,22.65642405
2019-09-13 5:00,5.665142857,4.222222222,4.663492063,64.96993651,22.59152381
2019-09-13 6:00,5.061273885,3.375796178,3.78343949,63.44363057,22.42541401
2019-09-13 7:00,5.218328076,3.410094637,3.845425868,61.66602524,22.71763407
2019-09-13 8:00,5.245333333,3.082539683,3.485714286,58.10111111,23.63409524
2019-09-13 9:00,5.04,2.795597484,3.210691824,56.59955975,23.65663522
2019-09-13 10:00,5.013555556,3.117460317,3.473015873,39.11974603,30.74726984
2019-09-13 11:00,6.362018927,2.65615142,2.965299685,26.73066246,37.69984227
2019-09-13 12:00,7.713512658,2.939873418,3.231012658,24.02427215,39.71303797
2019-09-13 13:00,8.64815873,3.819047619,4.349206349,23.81726984,40.188
2019-09-13 14:00,8.412044025,3.471698113,3.827044025,23.62308176,40.2772327
2019-09-13 15:00,9.308044164,3.561514196,3.990536278,21.72302839,41.79962145
2019-09-13 16:00,9.355141956,3.753943218,4.255520505,21.59514196,41.560347
2019-09-13 17:00,8.668132911,3.962025316,4.351265823,23.05414557,39.92313291
2019-09-13 18:00,7.084651899,3.898734177,4.25,26.17012658,36.96085443
2019-09-13 19:00,6.152681388,4.668769716,4.977917981,32.90397476,32.56015773
2019-09-13 20:00,8.248829114,6.759493671,7.221518987,38.97414557,30.30721519
2019-09-13 21:00,11.50012618,10.08201893,10.78233438,44.81012618,29.35082019
2019-09-13 22:00,13.56098101,13.79113924,14.64873418,49.92329114,28.54920886
2019-09-13 23:00,12.69674051,12.36708861,13.13291139,53.62927215,27.64031646
2019-09-14 0:00,12.02268987,11.33544304,11.93037975,54.44329114,27.00018987
2019-09-14 1:00,11.36867089,10.20253165,10.92405063,54.41566456,26.80018987
2019-09-14 2:00,11.3951746,10.24126984,10.84126984,54.83095238,26.81603175
2019-09-14 3:00,11.12857595,9.737341772,10.31012658,55.57867089,26.82556962
2019-09-14 4:00,10.51152381,8.752380952,9.288888889,55.59774603,26.61006349
2019-09-14 5:00,10.2503481,8.287974684,8.825949367,55.69386076,26.58481013
2019-09-14 6:00,9.474571429,7.203174603,7.628571429,55.65542857,26.26707937
2019-09-14 7:00,9.202649842,6.842271293,7.249211356,55.36085174,26.18864353
2019-09-14 8:00,9.553227848,7.234177215,7.57278481,55.75794304,26.41177215
2019-09-14 9:00,9.946455696,7.522151899,8.132911392,56.03939873,27.04224684
2019-09-14 10:00,9.091898734,6.398734177,6.787974684,51.06164557,28.15810127
2019-09-14 11:00,8.403860759,5.993670886,6.414556962,47.52946203,29.62338608
2019-09-14 12:00,9.179018987,7.028481013,7.481012658,44.72481013,31.21566456
2019-09-14 13:00,12.34996835,11.15506329,11.73417722,49.05756329,30.12484177
2019-09-14 14:00,18.63047468,23.19303797,24.40506329,56.16224684,28.54129747
2019-09-14 15:00,22.80341772,31.48101266,34.60126582,64.09363924,27.39079114
2019-09-14 16:00,22.71731013,32.63607595,36.40189873,71.45300633,26.5525
2019-09-14 17:00,20.15517915,28.08469055,30.51791531,74.20762215,26.62166124
2019-09-14 18:00,24.65702532,36.47468354,42.75,74.04905063,26.52958861
2019-09-14 19:00,25.28886076,37.94936709,44.81962025,74.75006329,26.33101266
2019-09-14 20:00,25.91138801,39.29968454,46.75078864,74.66747634,26.100347
2019-09-14 21:00,28.27312303,43.11987382,51.94006309,73.95135647,26.0155836
2019-09-14 22:00,27.08559748,41.42138365,49.55345912,73.34965409,25.75808176
2019-09-14 23:00,28.29946203,44.12025316,53.43670886,75.19743671,25.28110759
2019-09-15 0:00,28.50235669,44.95541401,54.69745223,76.28484076,24.94035032
2019-09-15 1:00,28.91148734,45.14240506,55.10443038,74.97512658,25.20993671
2019-09-15 2:00,26.81708861,41.87974684,50.45253165,74.37879747,25.06205696
2019-09-15 3:00,24.74107595,38.7943038,46.20886076,73.9096519,24.75898734
2019-09-15 4:00,23.99699367,38.46835443,45.89240506,75.73525316,24.15436709
2019-09-15 5:00,22.39791139,35.49367089,41.47151899,75.18240506,24.23196203
2019-09-15 6:00,23.50050473,37.96214511,45.30599369,76.23861199,23.93883281
2019-09-15 7:00,23.26822785,37.83544304,45.12974684,76.68484177,23.79110759
2019-09-15 8:00,22.51974763,35.53312303,41.47318612,74.46072555,24.31391167
